# Constructed from biom file
#ASV ID	GZ_Bl_1	GZ_Bl_2	GZ_Bl_3	SX_Bl_1	SX_Bl_2	SX_Bl_3	GZ_Rs_1	GZ_Rs_2	GZ_Rs_3	SX_Rs_1	SX_Rs_2	SX_Rs_3
ASV_192	107.0	0.0	68.0	213.0	174.0	160.0	163.0	76.0	106.0	137.0	28.0	0.0
ASV_217	74.0	0.0	37.0	401.0	415.0	224.0	12.0	5.0	8.0	0.0	0.0	0.0
ASV_194	117.0	0.0	83.0	275.0	301.0	289.0	51.0	0.0	59.0	0.0	0.0	0.0
ASV_137	196.0	31.0	225.0	364.0	162.0	129.0	0.0	0.0	0.0	0.0	37.0	0.0
ASV_68	321.0	49.0	152.0	234.0	275.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_62	105.0	0.0	133.0	92.0	204.0	124.0	126.0	104.0	130.0	49.0	70.0	0.0
ASV_184	42.0	0.0	66.0	188.0	146.0	695.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_212	119.0	0.0	66.0	285.0	400.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_233	0.0	0.0	0.0	0.0	0.0	0.0	343.0	125.0	234.0	181.0	83.0	153.0
ASV_205	77.0	19.0	102.0	209.0	256.0	211.0	127.0	50.0	67.0	0.0	0.0	0.0
ASV_239	0.0	33.0	28.0	145.0	912.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_220	0.0	0.0	0.0	7.0	0.0	0.0	156.0	496.0	365.0	50.0	17.0	26.0
ASV_143	32.0	13.0	31.0	154.0	213.0	154.0	95.0	37.0	96.0	203.0	51.0	27.0
ASV_243	0.0	0.0	0.0	0.0	0.0	0.0	291.0	179.0	366.0	228.0	22.0	0.0
ASV_242	0.0	0.0	0.0	0.0	0.0	0.0	394.0	163.0	273.0	94.0	72.0	56.0
ASV_254	0.0	0.0	0.0	0.0	0.0	0.0	331.0	136.0	225.0	197.0	55.0	107.0
ASV_222	0.0	0.0	0.0	0.0	0.0	0.0	310.0	153.0	282.0	155.0	55.0	75.0
ASV_206	0.0	0.0	0.0	0.0	0.0	0.0	20.0	47.0	33.0	881.0	0.0	41.0
ASV_187	0.0	0.0	0.0	0.0	0.0	0.0	314.0	163.0	231.0	78.0	59.0	130.0
ASV_221	44.0	6.0	38.0	187.0	266.0	388.0	13.0	0.0	12.0	20.0	0.0	0.0
ASV_21	177.0	30.0	144.0	173.0	229.0	219.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV_293	0.0	0.0	0.0	5.0	0.0	0.0	142.0	48.0	69.0	546.0	68.0	84.0
ASV_176	98.0	0.0	32.0	121.0	149.0	118.0	147.0	133.0	92.0	28.0	36.0	0.0
ASV_177	6.0	0.0	0.0	0.0	16.0	13.0	149.0	80.0	161.0	296.0	121.0	101.0
ASV_313	0.0	0.0	0.0	198.0	490.0	144.0	50.0	0.0	32.0	0.0	0.0	0.0
